ID,Título,História,Prioridade,Campo personalizado (Story Points)
10149,História,"Eu, como Gestor MEC, desejo selecionar um avatar para as opções de resposta",Medium,5
10148,História,"Eu, como Gestor MEC, desejo selecionar o avatar para a cena",Medium,13
10147,História,"Eu, como Gestor MEC, desejo cadastrar uma cena para a simulação",Medium,13
10146,História,"Eu, como Gestor MEC, desejo cadastrar uma simulação",Medium,1
10136,História,"Eu, como Gestor MEC, desejo associar uma função à trilha",Medium,5
10088,História,"Eu, como aluno, desejo verificar minhas conquistas no PNLD Formação",Medium,5
10086,História,"Eu, como Usuário, quero editar os dados de perfil para atualizar minhas informações",High,8
10085,História,"Eu, como usuário, desejo redefinir senha do meu perfil",High,8
10082,História,"Eu, como plataforma, desejo verificar o resultado de uma segunda tentativa de um quiz respondido pelo aluno",Medium,5
10081,História,"Eu, como aluno, desejo realizar uma segunda tentativa de responder um quiz",Medium,5
10080,História,"Eu, como plataforma, desejo verificar o resultado de um quiz respondido pelo aluno",Medium,8
10079,História,"Eu, como aluno, desejo realizar um quiz",Medium,13
10078,História,"Eu, como aluno, desejo interagir com uma imagem",Medium,0
10077,História,"Eu, como aluno, desejo interagir com um link",Medium,5
10076,História,"Eu, como plataforma, desejo bloquear os cursos ainda não disponíveis para o usuário ",Highest,5
10074,História,"Eu, como gestor MEC, desejo inserir um recurso (vídeo, imagem, áudio)",Medium,21
10064,História,"Eu, como usuário, desejo completar meu cadastro ao realizar meu primeiro acesso  via gov.br ou via PNLD Formação",Medium,10
10061,História,"Eu, como plataforma, desejo validar CPF informado pelo usuário via Gov.br ou via PNLD Formação (plataforma)",Medium,4
10054,História,"Eu, como Gestor MEC (Admin), desejo editar as informações de um usuário",Medium,8
10052,História,"Eu, como Gestor MEC (Admin), desejo enviar ou reenviar convite para um usuário já inserido no banco de dados da plataforma",Medium,5
10050,História,"Eu, como Gestor MEC (Admin), desejo realizar a filtragem dos Usuários para Perfil, Função e Objeto",Medium,3
10049,História,"Eu, como Gestor MEC (Admin), desejo realizar a busca por um usuário",Medium,2
10047,História,"Eu, como plataforma, desejo, na aba de Usuários Externos, exibir:",Medium,7
10046,História,"Eu, como plataforma, desejo na aba de Usuários do PNLD Avaliação, exibir:",Medium,7
10044,História,"Eu, como plataforma, desejo exibir um tópico do curso",High,20
10043,História,"Eu, como aluno, desejo acessar um módulo do curso",High,20
10035,História,"Eu, como plataforma, desejo verificar o tipo de acesso do usuário via Gov.br",Medium,2
10029,História,"Eu, como gestor MEC (Admin), desejo convidar usuários do PNLD - Avaliação para acessar a plataforma",Medium,8
10026,História,"Eu, como plataforma, desejo importar os dados dos usuários do PNLD avaliação",Medium,13
10024,História,"Eu, como Plataforma, desejo enviar a mensagem de contato",Medium,10
10023,História,"Eu, como Usuário, desejo remover arquivos anexados em minha mensagem de contato",Medium,10
10022,História,"Eu, como Usuário, desejo anexar arquivos a minha mensagem de contato",Medium,12
10020,História,"Eu, como Usuário, desejo acessar a página de “Contato”",Medium,3
10016,História,"Eu, como gestor MEC, desejo criar um quiz",Medium,13
10015,História,"Eu, como Gestor MEC, desejo criar conteúdo para um curso",Medium,1
10011,História,"Eu, como Gestor MEC, desejo acessar a aba de Cursos",Medium,21
10010,História,"Eu, como Gestor MEC, desejo visualizar/expandir uma trilha",Medium,21
10009,História,"Eu, como Gestor MEC, desejo criar uma trilha",Medium,55
10008,História,"Eu, como Gestor MEC, desejo acessar a página de trilhas",Medium,21
